,Depot,Cliente_1,Cliente_2,Cliente_3,Cliente_4,Cliente_5,Cliente_6,Cliente_7,Cliente_8,Cliente_9,Cliente_10,Cliente_11,Cliente_12,Cliente_13,Cliente_14,Cliente_15,Cliente_16,Cliente_17,Cliente_18,Cliente_19,Cliente_20,Cliente_21,Cliente_22,Cliente_23,Cliente_24,Cliente_25,Cliente_26,Cliente_27,Cliente_28,Cliente_29,Cliente_30,Cliente_31,Cliente_32,Cliente_33,Cliente_34,Cliente_35,Cliente_36,Cliente_37,Cliente_38,Cliente_39,Cliente_40,Cliente_41,Cliente_42,Cliente_43,Cliente_44,Cliente_45,Cliente_46,Cliente_47,Cliente_48,Cliente_49,Cliente_50,Cliente_51,Cliente_52,Cliente_53,Cliente_54,Cliente_55,Cliente_56,Cliente_57,Cliente_58,Cliente_59,Cliente_60,Cliente_61,Cliente_62,Cliente_63,Cliente_64,Cliente_65,Cliente_66,Cliente_67,Cliente_68,Cliente_69,Cliente_70,Cliente_71,Cliente_72,Cliente_73,Cliente_74,Cliente_75,Cliente_76,Cliente_77,Cliente_78,Cliente_79,Cliente_80,Cliente_81,Cliente_82,Cliente_83,Cliente_84,Cliente_85,Cliente_86,Cliente_87,Cliente_88,Cliente_89,Cliente_90,Cliente_91,Cliente_92,Cliente_93,Cliente_94,Cliente_95,Cliente_96,Cliente_97,Cliente_98,Cliente_99,Cliente_100,Cliente_101,Cliente_102,Cliente_103,Cliente_104,Cliente_105,Cliente_106,Cliente_107,Cliente_108,Cliente_109,Cliente_110,Cliente_111,Cliente_112,Cliente_113,Cliente_114,Cliente_115,Cliente_116,Cliente_117,Cliente_118,Cliente_119,Cliente_120,Cliente_121,Cliente_122,Cliente_123,Cliente_124,Cliente_125,Cliente_126,Cliente_127,Cliente_128,Cliente_129,Cliente_130,Cliente_131,Cliente_132,Cliente_133,Cliente_134,Cliente_135,Cliente_136,Cliente_137,Cliente_138,Cliente_139,Cliente_140,Cliente_141,Cliente_142,Cliente_143,Cliente_144,Cliente_145,Cliente_146,Cliente_147,Cliente_148,Cliente_149
Cliente_124,16,17,11,16,5,18,13,8,19,30,18,17,16,16,13,16,14,19,17,18,12,8,11,40,12,17,22,12,10,12,16,16,12,15,15,16,18,23,13,24,10,16,17,17,18,10,26,20,17,14,13,14,13,20,8,14,16,4,18,17,8,9,14,29,26,13,13,8,8,18,19,13,6,6,8,17,39,15,16,35,26,20,16,4,15,17,26,27,15,6,14,23,8,4,15,12,15,33,15,15,13,16,13,13,14,11,16,28,24,6,26,11,16,23,17,17,8,14,15,19,23,26,38,13,0,33,14,14,17,14,29,16,17,16,4,20,12,13,5,17,16,7,11,15,12,8,16,8,11,17
Cliente_125,42,44,31,42,27,44,40,34,20,17,25,43,42,24,40,42,40,20,43,20,38,28,23,16,22,43,22,36,34,39,42,42,33,41,27,21,44,22,39,27,32,42,43,19,44,34,33,19,16,40,40,31,40,22,30,34,42,32,44,43,26,26,40,55,23,21,39,27,25,28,18,40,32,32,28,43,43,41,21,12,33,18,22,30,28,44,33,26,30,33,40,23,34,30,42,38,41,5,41,41,40,42,40,39,22,33,16,15,23,29,24,30,42,22,43,29,25,21,41,45,22,33,64,40,30,0,41,41,22,41,16,42,45,42,32,47,38,40,27,44,43,30,37,41,26,32,26,26,34,44
Cliente_126,14,7,20,21,15,15,10,17,30,40,28,14,9,26,10,23,1,30,15,28,5,19,22,50,23,17,33,17,18,8,6,16,23,13,23,26,16,33,18,33,15,8,15,28,19,18,35,31,28,9,10,22,14,30,18,18,13,14,22,14,18,19,8,27,34,24,12,18,18,26,30,10,15,12,19,17,33,13,26,46,35,31,27,15,24,8,35,37,24,15,16,34,18,12,8,16,5,43,11,16,10,13,10,16,25,20,26,38,35,15,34,19,6,33,15,21,19,24,13,16,33,35,36,10,12,44,0,17,28,4,40,9,6,4,13,18,16,10,15,7,14,18,13,5,23,17,24,18,16,8
Cliente_127,8,16,23,8,17,7,17,14,32,42,28,4,13,29,17,12,16,32,9,28,17,21,24,52,25,3,35,24,22,18,16,4,14,7,26,29,7,36,12,36,22,13,10,27,6,22,38,33,27,17,17,25,14,32,21,25,4,17,9,4,20,22,17,20,38,26,8,19,21,30,32,17,18,17,21,3,37,11,29,48,38,29,29,14,27,18,38,40,27,18,13,36,13,16,16,12,18,46,12,5,17,4,17,13,24,23,26,40,37,15,38,22,16,36,11,28,18,24,12,8,36,38,29,17,16,46,17,0,27,18,42,13,20,19,17,12,12,17,17,16,14,20,12,18,22,20,28,19,22,18
Cliente_128,27,28,21,26,16,28,25,19,10,20,6,27,26,13,25,27,30,9,28,12,27,17,12,30,11,27,12,23,21,28,32,26,20,26,17,11,28,13,24,15,19,26,28,9,28,21,22,11,11,25,25,20,24,10,17,24,26,22,29,27,16,16,30,39,18,10,24,16,14,17,10,25,20,22,17,27,49,25,10,26,22,9,11,16,17,30,22,17,19,20,24,13,19,16,27,22,30,23,25,26,25,26,25,23,7,23,10,18,15,16,18,20,32,13,27,32,12,7,26,29,13,22,48,25,20,24,30,25,0,30,19,26,34,32,19,31,22,25,16,28,27,17,21,31,12,19,16,16,21,33
Cliente_129,12,4,18,18,14,14,12,16,29,39,29,12,10,25,12,20,5,28,13,29,8,17,23,49,22,15,32,16,17,11,10,15,18,11,22,27,14,34,16,31,14,10,11,28,17,17,33,30,28,12,12,21,12,29,17,18,12,13,20,12,16,20,11,25,33,25,10,16,19,25,29,12,13,15,17,15,29,8,26,45,33,30,28,15,22,3,33,38,22,13,14,32,15,16,11,13,8,42,9,14,12,12,12,13,25,18,27,37,34,17,33,18,10,32,10,19,19,25,9,15,32,33,34,12,15,43,5,15,28,0,38,10,8,5,13,16,14,12,14,4,10,16,11,7,22,15,23,16,16,10
Cliente_130,45,36,25,44,29,46,34,36,15,2,26,45,39,19,34,44,34,15,46,22,36,29,25,28,23,45,12,26,27,34,37,44,37,43,21,17,46,11,41,13,26,38,43,21,46,27,22,14,18,35,34,24,35,14,28,24,44,30,46,45,28,28,38,57,12,22,41,30,27,19,16,34,28,34,29,45,38,41,17,24,22,20,20,32,22,37,22,13,21,29,42,11,36,32,38,40,36,21,41,43,34,44,34,37,23,26,18,3,13,31,13,26,37,13,43,18,27,23,41,47,11,22,66,34,32,22,34,42,24,34,0,39,37,35,29,49,40,34,29,36,43,27,39,36,27,28,21,28,25,38
Cliente_131,8,9,22,15,16,9,7,13,31,42,27,8,1,28,7,17,8,31,9,27,9,20,23,52,24,11,34,20,21,10,8,10,16,7,26,28,9,35,12,35,18,2,9,26,12,21,37,32,27,6,7,24,7,32,20,21,7,16,16,8,19,21,9,21,37,25,5,18,20,29,32,7,17,12,20,11,32,6,28,48,37,28,28,14,26,12,37,39,26,17,10,35,11,15,6,10,10,45,4,10,7,7,7,10,23,22,25,40,36,14,37,22,8,35,8,26,17,23,7,10,35,37,30,7,16,45,9,11,27,11,41,0,12,11,16,12,11,7,16,9,8,19,7,10,21,19,27,18,19,10
Cliente_132,16,12,18,24,14,18,12,19,29,39,29,16,11,25,12,26,6,29,17,29,8,18,23,49,22,19,32,16,17,11,9,19,23,16,22,27,18,34,20,32,15,11,17,28,21,17,33,30,28,12,12,21,16,29,17,18,16,14,24,16,16,20,10,30,33,25,14,16,20,25,29,12,13,16,18,19,34,14,27,45,33,30,28,15,22,11,33,38,22,14,19,32,19,16,10,18,8,42,14,18,12,16,12,18,25,18,27,37,34,19,33,18,9,32,17,20,19,25,15,19,32,33,39,12,16,43,7,19,28,9,39,11,0,9,14,20,18,12,14,12,16,16,16,8,23,15,23,16,16,10
Cliente_133,14,4,21,21,16,16,11,18,32,43,31,14,11,29,11,22,4,32,15,31,7,20,24,52,26,17,35,19,20,10,6,17,20,14,24,29,16,36,18,34,17,11,13,30,19,20,36,33,30,11,11,23,14,33,21,20,14,16,22,14,19,22,10,28,35,26,12,18,21,27,32,11,16,14,20,17,32,10,29,48,36,33,30,17,25,7,36,40,25,16,16,34,17,15,10,15,3,46,11,16,11,14,11,15,27,21,29,40,37,17,35,20,6,36,12,22,21,27,11,17,36,36,37,11,14,46,4,17,30,4,42,11,9,0,15,18,16,11,16,4,12,19,13,2,25,18,26,18,18,7
