,Numero_de_Productos_Ordenados,ID,Lista_de_Volumenes_de_Productos,Volumen_Total
13865,1,[39546],[0.81],0.81
13866,1,[23534],[0.031977],0.031977
13867,1,[24335],[0.0001],0.0001
13868,1,[38993],[0.001125],0.001125
13869,1,[33975],[0.0002],0.0002
13870,1,[47050],[0.0009958],0.0009958
13871,1,[14627],[0.163],0.163
13872,1,[34455],[0.025238],0.025238
13873,1,[20079],[0.0009568],0.0009568
13874,1,[121],[0.075924],0.075924
13875,1,[34618],[0.1837185],0.1837185
13876,1,[37526],[0.02331],0.02331
13877,1,[40696],[0.000104],0.000104
13878,1,[34299],[0.0009568],0.0009568
13879,1,[34467],[0.00836071],0.00836071
13880,1,[40311],[0.00105],0.00105
13881,1,[24035],[0.00056],0.00056
13882,1,[37188],[0.01],0.01
13883,1,[20750],[0.00066681],0.00066681
13884,1,[47785],[0.00712041],0.00712041
13885,1,[39351],[0.002793],0.002793
13886,1,[17434],[0.046322],0.046322
13887,1,[17206],[0.02987],0.02987
13888,1,[29863],[0.001],0.001
13889,1,[5895],[0.0009568],0.0009568
13890,1,[32001],[0.006904],0.006904
13891,1,[27525],[0.0009568],0.0009568
13892,1,[33564],[0.001],0.001
13893,1,[35297],[0.00430529],0.00430529
13894,1,[17237],[0.004509],0.004509
13895,1,[17186],[0.39698326],0.39698326
13896,1,[34137],[7.423e-05],7.423e-05
13897,1,[34321],[0.0009568],0.0009568
13898,1,[34742],[0.006729],0.006729
13899,1,[28160],[0.0009568],0.0009568
13900,1,[48206],[0.000426],0.000426
13901,1,[14835],[0.0170786],0.0170786
13902,1,[17135],[0.00121],0.00121
13903,1,[5689],[0.31],0.31
13904,1,[24330],[0.24423917],0.24423917
13905,1,[25161],[0.0009568],0.0009568
13906,1,[14835],[0.0170786],0.0170786
13907,1,[20457],[0.10494707],0.10494707
13908,1,[40768],[0.001],0.001
13909,1,[20079],[0.0009568],0.0009568
13910,1,[23946],[0.00056],0.00056
13911,1,[17377],[0.008],0.008
13912,1,[50336],[1e-08],1e-08
13913,2,"[34633, 42634]","[0.0001, 0.0009568]",0.0010567999999999999
13914,1,[48381],[0.00024],0.00024
13915,1,[34419],[0.241743],0.241743
13916,1,[37188],[0.01],0.01
13917,3,"[34324, 37487, 27798]","[0.00108, 0.001, 3.25]",3.25208
